name,loss,dataset,seed,acc,query
summer-sea-1944,src.loss_fns.VSLoss,ImbalancedCIFAR10DataModule,3,0.6639999747276306,LA
swift-waterfall-1932,src.loss_fns.VSLoss,ImbalancedCIFAR10DataModule,5,0.6919999718666077,LA
proud-paper-1931,src.loss_fns.VSLoss,ImbalancedCIFAR10DataModule,4,0.641499936580658,LA
absurd-pond-1937,src.loss_fns.VSLoss,ImbalancedCIFAR10DataModule,2,0.6894999742507935,VS
avid-forest-1940,src.loss_fns.VSLoss,ImbalancedCIFAR10DataModule,5,0.700499951839447,VS
magic-puddle-1939,src.loss_fns.VSLoss,ImbalancedCIFAR10DataModule,6,0.6829999685287476,VS
elated-field-1938,src.loss_fns.VSLoss,ImbalancedCIFAR10DataModule,3,0.6959999799728394,VS
fallen-flower-1936,src.loss_fns.VSLoss,ImbalancedCIFAR10DataModule,4,0.6889999508857727,VS
classic-galaxy-1934,src.loss_fns.VSLoss,ImbalancedCIFAR10DataModule,0,0.7044999599456787,VS
robust-disco-1929,src.loss_fns.VSLoss,ImbalancedCIFAR10DataModule,7,0.6864999532699585,VS
lucky-wave-1935,src.loss_fns.VSLoss,ImbalancedCIFAR10DataModule,1,0.6869999766349792,VS
fast-smoke-1930,src.loss_fns.VSLoss,ImbalancedCIFAR10DataModule,8,0.7084999680519104,VS
ruby-eon-1931,src.loss_fns.VSLoss,ImbalancedCIFAR10DataModule,9,0.6864998936653137,VS
