name,loss,dataset,seed,acc,query
zany-frost-1266,Poly-tailed Loss,CelebADataModule,6,0.8083332777023315,IW
efficient-wildflower-1265,Cross Entropy,CelebADataModule,5,0.7902777194976807,IW
chocolate-elevator-1263,Poly-tailed Loss,CelebADataModule,5,0.8249999284744263,IW
legendary-flower-1253,Poly-tailed Loss,CelebADataModule,4,0.8013889193534851,IW
tough-jazz-1254,Poly-tailed Loss,CelebADataModule,3,0.8138888478279114,IW
comfy-valley-1249,Cross Entropy,CelebADataModule,4,0.793055534362793,IW
generous-frog-1247,Cross Entropy,CelebADataModule,3,0.7805554270744324,IW
still-galaxy-1242,Poly-tailed Loss,CelebADataModule,2,0.7694443464279175,IW
spring-pine-1240,Cross Entropy,CelebADataModule,2,0.7791666388511658,IW
chocolate-frost-1235,Poly-tailed Loss,CelebADataModule,1,0.8027777671813965,IW
jolly-armadillo-1234,Cross Entropy,CelebADataModule,1,0.7847221493721008,IW
youthful-universe-1231,Poly-tailed Loss,CelebADataModule,0,0.8125,IW
zesty-flower-1230,Cross Entropy,CelebADataModule,0,0.7791666388511658,IW
worthy-terrain-1711,Cross Entropy,ImbalancedCIFAR10DataModule,9,0.6520000100135803,IW-ES
still-snowflake-1710,Cross Entropy,ImbalancedCIFAR10DataModule,8,0.6299999952316284,IW-ES
winter-sponge-1709,Cross Entropy,ImbalancedCIFAR10DataModule,7,0.6179999709129333,IW-ES
jumping-darkness-1708,Cross Entropy,ImbalancedCIFAR10DataModule,6,0.6065000295639038,IW-ES
golden-sunset-1707,Cross Entropy,ImbalancedCIFAR10DataModule,5,0.6494999527931213,IW-ES
volcanic-vortex-1676,Poly-tailed Loss,ImbalancedCIFAR10DataModule,9,0.6494999527931213,IW-ES
honest-feather-1675,Poly-tailed Loss,ImbalancedCIFAR10DataModule,8,0.6429999470710754,IW-ES
dulcet-fire-1674,Poly-tailed Loss,ImbalancedCIFAR10DataModule,7,0.6264999508857727,IW-ES
chocolate-bee-1673,Poly-tailed Loss,ImbalancedCIFAR10DataModule,5,0.6389999985694885,IW-ES
golden-morning-1670,Poly-tailed Loss,ImbalancedCIFAR10DataModule,6,0.6329999566078186,IW-ES
celestial-terrain-1644,Cross Entropy,ImbalancedCIFAR10DataModule,1,0.6204999685287476,IW-ES
peach-waterfall-1643,Cross Entropy,ImbalancedCIFAR10DataModule,0,0.6335000395774841,IW-ES
dandy-moon-1641,Poly-tailed Loss,ImbalancedCIFAR10DataModule,1,0.6274999380111694,IW-ES
treasured-field-1631,Poly-tailed Loss,ImbalancedCIFAR10DataModule,4,0.6114999651908875,IW-ES
valiant-cloud-1629,Cross Entropy,ImbalancedCIFAR10DataModule,4,0.5969999432563782,IW-ES
soft-spaceship-1628,Poly-tailed Loss,ImbalancedCIFAR10DataModule,3,0.6219999194145203,IW-ES
worthy-deluge-1627,Cross Entropy,ImbalancedCIFAR10DataModule,3,0.593999981880188,IW-ES
different-plant-1622,Poly-tailed Loss,ImbalancedCIFAR10DataModule,2,0.6635000109672546,IW-ES
breezy-disco-1621,Cross Entropy,ImbalancedCIFAR10DataModule,2,0.650999903678894,IW-ES
swept-violet-1616,Poly-tailed Loss,ImbalancedCIFAR10DataModule,0,0.6269999742507935,IW-ES
